codePC,descPC,codeRC,descRC,typeObjet,niveau,commentaireObligatoire,Gravité
P40M,GTC ouverture porte tunnel. Contrôle de la remontée de l'information dans la GTC (avec le PC),P40M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P41M,GTC intrusion porte extérieure. Contrôle de la remontée de l'information dans la GTC (avec le PC),P41M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P41M,GTC intrusion porte extérieure. Contrôle de la remontée de l'information dans la GTC (avec le PC),P41M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P41M,GTC intrusion porte extérieure. Contrôle de la remontée de l'information dans la GTC (avec le PC),P41M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P41M,GTC intrusion porte extérieure. Contrôle de la remontée de l'information dans la GTC (avec le PC),P41M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P42M,GTC Détection présence en IS. Contrôle de la remontée de l'information dans la GTC (avec le PC),P42M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P42M,GTC Détection présence en IS. Contrôle de la remontée de l'information dans la GTC (avec le PC),P42M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P42M,GTC Détection présence en IS. Contrôle de la remontée de l'information dans la GTC (avec le PC),P42M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P42M,GTC Détection présence en IS. Contrôle de la remontée de l'information dans la GTC (avec le PC),P42M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P43M,GTC Visualisation caméra IS. Contrôle de la remontée de l'information dans la GTC (avec le PC),P43M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P43M,GTC Visualisation caméra IS. Contrôle de la remontée de l'information dans la GTC (avec le PC),P43M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P43M,GTC Visualisation caméra IS. Contrôle de la remontée de l'information dans la GTC (avec le PC),P43M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P43M,GTC Visualisation caméra IS. Contrôle de la remontée de l'information dans la GTC (avec le PC),P43M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P44M,Bilan général de l'issue.  Signalement d'autres anomalies éventuelles (OK si RAS),P44M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P44M,Bilan général de l'issue.  Signalement d'autres anomalies éventuelles (OK si RAS),P44M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P44M,Bilan général de l'issue.  Signalement d'autres anomalies éventuelles (OK si RAS),P44M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P44M,Bilan général de l'issue.  Signalement d'autres anomalies éventuelles (OK si RAS),P44M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P45M,Éclairage niche. Remplacement des luminaires défectueux dans la niche,P45M-OK,Pas de défaut (OK),niche,Maintenance annuelle,False,Non concerné
P45M,Éclairage niche. Remplacement des luminaires défectueux dans la niche,P45M-NOK,Défaut constaté (NOK),niche,Maintenance annuelle,True,Défaut majeur
P45M,Éclairage niche. Remplacement des luminaires défectueux dans la niche,P45M-SO,Sans objet : local non équipé (SO),niche,Maintenance annuelle,False,Non concerné
P45M,Éclairage niche. Remplacement des luminaires défectueux dans la niche,P45M-NE,Contrôle non effectué (NE),niche,Maintenance annuelle,True,Défaut majeur
P46M,GTC décroché extincteur. Contrôle de la remontée de l'information dans la GTC (avec le PC),P46M-OK,Pas de défaut (OK),niche,Maintenance annuelle,False,Non concerné
P46M,GTC décroché extincteur. Contrôle de la remontée de l'information dans la GTC (avec le PC),P46M-NOK,Défaut constaté (NOK),niche,Maintenance annuelle,True,Défaut majeur
P46M,GTC décroché extincteur. Contrôle de la remontée de l'information dans la GTC (avec le PC),P46M-SO,Sans objet : local non équipé (SO),niche,Maintenance annuelle,False,Non concerné
P46M,GTC décroché extincteur. Contrôle de la remontée de l'information dans la GTC (avec le PC),P46M-NE,Contrôle non effectué (NE),niche,Maintenance annuelle,True,Défaut majeur
P47M,Bilan général de la niche. Signalement d'autres anomalies éventuelles (OK si RAS),P47M-OK,Pas de défaut (OK),niche,Maintenance annuelle,False,Non concerné
P47M,Bilan général de la niche. Signalement d'autres anomalies éventuelles (OK si RAS),P47M-NOK,Défaut constaté (NOK),niche,Maintenance annuelle,True,Défaut mineur
P47M,Bilan général de la niche. Signalement d'autres anomalies éventuelles (OK si RAS),P47M-SO,Sans objet : local non équipé (SO),niche,Maintenance annuelle,False,Non concerné
P47M,Bilan général de la niche. Signalement d'autres anomalies éventuelles (OK si RAS),P47M-NE,Contrôle non effectué (NE),niche,Maintenance annuelle,True,Défaut majeur
P48J,Porte tunnel coupe-feu. Mesurer le temps de fermeture en autonomie (inférieur à 10 secondes),P48J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,True,Non concerné
P48J,Porte tunnel coupe-feu. Mesurer le temps de fermeture en autonomie (inférieur à 10 secondes),P48J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut majeur
P48J,Porte tunnel coupe-feu. Mesurer le temps de fermeture en autonomie (inférieur à 10 secondes),P48J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,True,Non concerné
P48J,Porte tunnel coupe-feu. Mesurer le temps de fermeture en autonomie (inférieur à 10 secondes),P48J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut majeur
P49J,Porte tunnel coupe-feu. Contrôler l'étanchéité de la porte (joints),P49J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P49J,Porte tunnel coupe-feu. Contrôler l'étanchéité de la porte (joints),P49J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut majeur
P49J,Porte tunnel coupe-feu. Contrôler l'étanchéité de la porte (joints),P49J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P49J,Porte tunnel coupe-feu. Contrôler l'étanchéité de la porte (joints),P49J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut majeur
P50J,Porte tunnel coupe-feu. Contrôler l'état général de la porte coupe-feu (chocs…),P50J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P50J,Porte tunnel coupe-feu. Contrôler l'état général de la porte coupe-feu (chocs…),P50J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P50J,Porte tunnel coupe-feu. Contrôler l'état général de la porte coupe-feu (chocs…),P50J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P50J,Porte tunnel coupe-feu. Contrôler l'état général de la porte coupe-feu (chocs…),P50J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P51J,Porte tunnel coupe-feu. Signaler d'éventuelles autres anomalies (OK si RAS),P51J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P51J,Porte tunnel coupe-feu. Signaler d'éventuelles autres anomalies (OK si RAS),P51J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P51J,Porte tunnel coupe-feu. Signaler d'éventuelles autres anomalies (OK si RAS),P51J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P51J,Porte tunnel coupe-feu. Signaler d'éventuelles autres anomalies (OK si RAS),P51J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P52J,Surpression. Vérifier l'activation de la surpression à l'ouverture de la porte (bruit de soufflerie),P52J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P52J,Surpression. Vérifier l'activation de la surpression à l'ouverture de la porte (bruit de soufflerie),P52J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut majeur
P52J,Surpression. Vérifier l'activation de la surpression à l'ouverture de la porte (bruit de soufflerie),P52J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P52J,Surpression. Vérifier l'activation de la surpression à l'ouverture de la porte (bruit de soufflerie),P52J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut majeur
P53J,Surpression. Contrôler la seconde ouverture de la porte DEPUIS LE SAS avec la surpression activée,P53J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P53J,Surpression. Contrôler la seconde ouverture de la porte DEPUIS LE SAS avec la surpression activée,P53J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut majeur
P53J,Surpression. Contrôler la seconde ouverture de la porte DEPUIS LE SAS avec la surpression activée,P53J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P53J,Surpression. Contrôler la seconde ouverture de la porte DEPUIS LE SAS avec la surpression activée,P53J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut majeur
P54J,Surpression. Signaler d'éventuelles autres anomalies (OK si RAS),P54J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P54J,Surpression. Signaler d'éventuelles autres anomalies (OK si RAS),P54J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P54J,Surpression. Signaler d'éventuelles autres anomalies (OK si RAS),P54J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P54J,Surpression. Signaler d'éventuelles autres anomalies (OK si RAS),P54J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P55J,Propreté et vacuité dans le sas. Contrôler l'absence d'encombrement dans le sas,P55J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P55J,Propreté et vacuité dans le sas. Contrôler l'absence d'encombrement dans le sas,P55J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut majeur
P55J,Propreté et vacuité dans le sas. Contrôler l'absence d'encombrement dans le sas,P55J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P55J,Propreté et vacuité dans le sas. Contrôler l'absence d'encombrement dans le sas,P55J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut majeur
P56J,Propreté et vacuité dans le sas. Contrôler l'absence d'eau dans le sas,P56J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P56J,Propreté et vacuité dans le sas. Contrôler l'absence d'eau dans le sas,P56J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P56J,Propreté et vacuité dans le sas. Contrôler l'absence d'eau dans le sas,P56J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P56J,Propreté et vacuité dans le sas. Contrôler l'absence d'eau dans le sas,P56J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P57J,Propreté et vacuité dans le sas. Contrôler l'absence de salissures/graffitis ou déchets dans le sas,P57J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P57J,Propreté et vacuité dans le sas. Contrôler l'absence de salissures/graffitis ou déchets dans le sas,P57J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P57J,Propreté et vacuité dans le sas. Contrôler l'absence de salissures/graffitis ou déchets dans le sas,P57J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P57J,Propreté et vacuité dans le sas. Contrôler l'absence de salissures/graffitis ou déchets dans le sas,P57J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P58J,Propreté et vacuité dans le sas. Signaler d'éventuelles autres anomalies (OK si RAS),P58J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P58J,Propreté et vacuité dans le sas. Signaler d'éventuelles autres anomalies (OK si RAS),P58J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P58J,Propreté et vacuité dans le sas. Signaler d'éventuelles autres anomalies (OK si RAS),P58J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P58J,Propreté et vacuité dans le sas. Signaler d'éventuelles autres anomalies (OK si RAS),P58J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P59J,Eclairage de secours dans le sas. Contrôler la présence et la qualité de l'éclairage de secours,P59J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P59J,Eclairage de secours dans le sas. Contrôler la présence et la qualité de l'éclairage de secours,P59J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P59J,Eclairage de secours dans le sas. Contrôler la présence et la qualité de l'éclairage de secours,P59J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P59J,Eclairage de secours dans le sas. Contrôler la présence et la qualité de l'éclairage de secours,P59J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P60J,Eclairage normal dans le sas. Contrôler : Activation et qualité de l'éclairage normal,P60J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P60J,Eclairage normal dans le sas. Contrôler : Activation et qualité de l'éclairage normal,P60J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P60J,Eclairage normal dans le sas. Contrôler : Activation et qualité de l'éclairage normal,P60J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P60J,Eclairage normal dans le sas. Contrôler : Activation et qualité de l'éclairage normal,P60J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P61J,Porte(s) sas à l'intérieur de l'issue. Contrôler la possibilité d'ouverture de la porte,P61J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P61J,Porte(s) sas à l'intérieur de l'issue. Contrôler la possibilité d'ouverture de la porte,P61J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut majeur
P61J,Porte(s) sas à l'intérieur de l'issue. Contrôler la possibilité d'ouverture de la porte,P61J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P61J,Porte(s) sas à l'intérieur de l'issue. Contrôler la possibilité d'ouverture de la porte,P61J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut majeur
P62J,Porte(s) sas à l'intérieur de l'issue. Analyser l'effort nécessaire à l'ouverture de la porte,P62J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P62J,Porte(s) sas à l'intérieur de l'issue. Analyser l'effort nécessaire à l'ouverture de la porte,P62J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P62J,Porte(s) sas à l'intérieur de l'issue. Analyser l'effort nécessaire à l'ouverture de la porte,P62J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P62J,Porte(s) sas à l'intérieur de l'issue. Analyser l'effort nécessaire à l'ouverture de la porte,P62J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P63J,Porte(s) sas à l'intérieur de l'issue. Vérifier la fermeture en autonomie de la porte sas,P63J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P63J,Porte(s) sas à l'intérieur de l'issue. Vérifier la fermeture en autonomie de la porte sas,P63J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P63J,Porte(s) sas à l'intérieur de l'issue. Vérifier la fermeture en autonomie de la porte sas,P63J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P63J,Porte(s) sas à l'intérieur de l'issue. Vérifier la fermeture en autonomie de la porte sas,P63J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P64J,Porte(s) sas à l'intérieur de l'issue. Contrôler l'état général de la porte sas (chocs…),P64J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P64J,Porte(s) sas à l'intérieur de l'issue. Contrôler l'état général de la porte sas (chocs…),P64J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P64J,Porte(s) sas à l'intérieur de l'issue. Contrôler l'état général de la porte sas (chocs…),P64J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P64J,Porte(s) sas à l'intérieur de l'issue. Contrôler l'état général de la porte sas (chocs…),P64J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P65J,Porte(s) sas à l'intérieur de l'issue. Contrôler l'étanchéité de la porte (joints),P65J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P65J,Porte(s) sas à l'intérieur de l'issue. Contrôler l'étanchéité de la porte (joints),P65J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P65J,Porte(s) sas à l'intérieur de l'issue. Contrôler l'étanchéité de la porte (joints),P65J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P65J,Porte(s) sas à l'intérieur de l'issue. Contrôler l'étanchéité de la porte (joints),P65J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P66J,Porte(s) sas à l'intérieur de l'issue. Signaler d'éventuelles autres anomalies (OK si RAS),P66J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P66J,Porte(s) sas à l'intérieur de l'issue. Signaler d'éventuelles autres anomalies (OK si RAS),P66J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P66J,Porte(s) sas à l'intérieur de l'issue. Signaler d'éventuelles autres anomalies (OK si RAS),P66J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P66J,Porte(s) sas à l'intérieur de l'issue. Signaler d'éventuelles autres anomalies (OK si RAS),P66J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P67J,Propreté et vacuité dans l'issue. Contrôler l'absence d'obstacles gênant ou empêchant le passage,P67J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P67J,Propreté et vacuité dans l'issue. Contrôler l'absence d'obstacles gênant ou empêchant le passage,P67J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut majeur
P67J,Propreté et vacuité dans l'issue. Contrôler l'absence d'obstacles gênant ou empêchant le passage,P67J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P67J,Propreté et vacuité dans l'issue. Contrôler l'absence d'obstacles gênant ou empêchant le passage,P67J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut majeur
P68J,Propreté et vacuité dans l'issue. Contrôler l'absence d'eau dans l'issue,P68J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P68J,Propreté et vacuité dans l'issue. Contrôler l'absence d'eau dans l'issue,P68J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P68J,Propreté et vacuité dans l'issue. Contrôler l'absence d'eau dans l'issue,P68J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P68J,Propreté et vacuité dans l'issue. Contrôler l'absence d'eau dans l'issue,P68J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P69J,Propreté et vacuité dans l'issue. Contrôler l'absence de salissures/graffitis ou déchets dans l'issue,P69J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P69J,Propreté et vacuité dans l'issue. Contrôler l'absence de salissures/graffitis ou déchets dans l'issue,P69J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P69J,Propreté et vacuité dans l'issue. Contrôler l'absence de salissures/graffitis ou déchets dans l'issue,P69J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P69J,Propreté et vacuité dans l'issue. Contrôler l'absence de salissures/graffitis ou déchets dans l'issue,P69J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P70J,Propreté et vacuité dans l'issue. Signaler d'éventuelles autres anomalies (OK si RAS),P70J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P70J,Propreté et vacuité dans l'issue. Signaler d'éventuelles autres anomalies (OK si RAS),P70J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P70J,Propreté et vacuité dans l'issue. Signaler d'éventuelles autres anomalies (OK si RAS),P70J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P70J,Propreté et vacuité dans l'issue. Signaler d'éventuelles autres anomalies (OK si RAS),P70J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P71J,Eclairage de secours dans l'issue. Contrôler la présence et la qualité de l'éclairage de secours,P71J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P71J,Eclairage de secours dans l'issue. Contrôler la présence et la qualité de l'éclairage de secours,P71J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P71J,Eclairage de secours dans l'issue. Contrôler la présence et la qualité de l'éclairage de secours,P71J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P71J,Eclairage de secours dans l'issue. Contrôler la présence et la qualité de l'éclairage de secours,P71J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P72J,Eclairage de secours dans l'issue. Contrôler l'activation et la qualité de l'éclairage normal,P72J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P72J,Eclairage de secours dans l'issue. Contrôler l'activation et la qualité de l'éclairage normal,P72J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P72J,Eclairage de secours dans l'issue. Contrôler l'activation et la qualité de l'éclairage normal,P72J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P72J,Eclairage de secours dans l'issue. Contrôler l'activation et la qualité de l'éclairage normal,P72J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P73J,Caméra détection. Vérifier l'absence de dégradation visibles,P73J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P73J,Caméra détection. Vérifier l'absence de dégradation visibles,P73J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut majeur
P73J,Caméra détection. Vérifier l'absence de dégradation visibles,P73J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P73J,Caméra détection. Vérifier l'absence de dégradation visibles,P73J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut majeur
P74J,Détecteur de présence. Vérifier le passage du voyant du rouge au vert,P74J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P74J,Détecteur de présence. Vérifier le passage du voyant du rouge au vert,P74J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut majeur
P74J,Détecteur de présence. Vérifier le passage du voyant du rouge au vert,P74J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P74J,Détecteur de présence. Vérifier le passage du voyant du rouge au vert,P74J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut majeur
P75J,Téléphone de sécurité (TSE). Vérifier : Absence de dégradation visibles,P75J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P75J,Téléphone de sécurité (TSE). Vérifier : Absence de dégradation visibles,P75J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut majeur
P75J,Téléphone de sécurité (TSE). Vérifier : Absence de dégradation visibles,P75J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P75J,Téléphone de sécurité (TSE). Vérifier : Absence de dégradation visibles,P75J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut majeur
P76J,Armoire(s) PST. Vérifier l'absence de dégradation visibles,P76J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P76J,Armoire(s) PST. Vérifier l'absence de dégradation visibles,P76J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut majeur
P76J,Armoire(s) PST. Vérifier l'absence de dégradation visibles,P76J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P76J,Armoire(s) PST. Vérifier l'absence de dégradation visibles,P76J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut majeur
P77J,Bilan général de l'issue. Signaler d'éventuelles autres anomalies (OK si RAS),P77J-OK,Pas de défaut (OK),issue,Bimestrielle de jour,False,Non concerné
P77J,Bilan général de l'issue. Signaler d'éventuelles autres anomalies (OK si RAS),P77J-NOK,Défaut constaté (NOK),issue,Bimestrielle de jour,True,Défaut mineur
P77J,Bilan général de l'issue. Signaler d'éventuelles autres anomalies (OK si RAS),P77J-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de jour,False,Non concerné
P77J,Bilan général de l'issue. Signaler d'éventuelles autres anomalies (OK si RAS),P77J-NE,Contrôle non effectué (NE),issue,Bimestrielle de jour,True,Défaut mineur
P78N,Propreté/vacuité avant la porte coupe-feu. Contrôler l'absence d'obstacles gênant ou empêchant le passage,P78N-OK,Pas de défaut (OK),issue,Bimestrielle de nuit,False,Non concerné
P78N,Propreté/vacuité avant la porte coupe-feu. Contrôler l'absence d'obstacles gênant ou empêchant le passage,P78N-NOK,Défaut constaté (NOK),issue,Bimestrielle de nuit,True,Défaut majeur
P78N,Propreté/vacuité avant la porte coupe-feu. Contrôler l'absence d'obstacles gênant ou empêchant le passage,P78N-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de nuit,False,Non concerné
P78N,Propreté/vacuité avant la porte coupe-feu. Contrôler l'absence d'obstacles gênant ou empêchant le passage,P78N-NE,Contrôle non effectué (NE),issue,Bimestrielle de nuit,True,Défaut majeur
P79N,Propreté/vacuité avant la porte coupe-feu. Contrôler l'absence d'eau devant la porte coupe-feu,P79N-OK,Pas de défaut (OK),issue,Bimestrielle de nuit,False,Non concerné
P79N,Propreté/vacuité avant la porte coupe-feu. Contrôler l'absence d'eau devant la porte coupe-feu,P79N-NOK,Défaut constaté (NOK),issue,Bimestrielle de nuit,True,Défaut mineur
P79N,Propreté/vacuité avant la porte coupe-feu. Contrôler l'absence d'eau devant la porte coupe-feu,P79N-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de nuit,False,Non concerné
P79N,Propreté/vacuité avant la porte coupe-feu. Contrôler l'absence d'eau devant la porte coupe-feu,P79N-NE,Contrôle non effectué (NE),issue,Bimestrielle de nuit,True,Défaut mineur
P80N,Propreté/vacuité avant la porte coupe-feu. Contrôler l'absence de détritus devant la porte coupe-feu,P80N-OK,Pas de défaut (OK),issue,Bimestrielle de nuit,False,Non concerné
P80N,Propreté/vacuité avant la porte coupe-feu. Contrôler l'absence de détritus devant la porte coupe-feu,P80N-NOK,Défaut constaté (NOK),issue,Bimestrielle de nuit,True,Défaut mineur
P80N,Propreté/vacuité avant la porte coupe-feu. Contrôler l'absence de détritus devant la porte coupe-feu,P80N-SO,Sans objet : local non équipé (SO),issue,Bimestrielle de nuit,False,Non concerné
P80N,Propreté/vacuité avant la porte coupe-feu. Contrôler l'absence de détritus devant la porte coupe-feu,P80N-NE,Contrôle non effectué (NE),issue,Bimestrielle de nuit,True,Défaut mineur
P81N,Propreté/vacuité avant la porte coupe-feu. Signaler d'éventuelles autres anomalies (OK si RAS),P81N-OK,Pas de défaut (OK),issue,Bimestrielle de nuit,False,Non concerné
